utc,imbalance_price_£/MWh,day_ahead_£/MWh
30/09/2016 23:00,26.96688,37.05
30/09/2016 23:30,26.25,37.05
01/10/2016 00:00,26.35916,30.5
01/10/2016 00:30,22,30.5
01/10/2016 01:00,22,31.54
01/10/2016 01:30,22.1036,31.54
01/10/2016 02:00,25,29.03
01/10/2016 02:30,23,29.03
01/10/2016 03:00,10,27.22
01/10/2016 03:30,10,27.22
01/10/2016 04:00,10,28
01/10/2016 04:30,22.27432,28
01/10/2016 05:00,23,30.41
01/10/2016 05:30,26.34114,30.41
01/10/2016 06:00,31.43637,35.95
01/10/2016 06:30,32.94,35.95
01/10/2016 07:00,31.28001,34.11
01/10/2016 07:30,31.6,34.11
01/10/2016 08:00,32.94,50
01/10/2016 08:30,31.58664,50
01/10/2016 09:00,49,69.94
01/10/2016 09:30,48.05912,69.94
01/10/2016 10:00,31.6,60.03
01/10/2016 10:30,32.94,60.03
01/10/2016 11:00,31.41917,65
01/10/2016 11:30,28.02,65
01/10/2016 12:00,28.81,55
01/10/2016 12:30,28.81,55
01/10/2016 13:00,40,35
01/10/2016 13:30,32.94,35
01/10/2016 14:00,51.98826,32.68
01/10/2016 14:30,67,32.68
01/10/2016 15:00,139.63333,33.03
01/10/2016 15:30,178.92083,33.03
01/10/2016 16:00,175.27022,38
01/10/2016 16:30,166.49324,38
01/10/2016 17:00,165.16872,58.52
01/10/2016 17:30,67,58.52
01/10/2016 18:00,67.95,89.97
01/10/2016 18:30,65,89.97
01/10/2016 19:00,53.99,119.97
01/10/2016 19:30,32.94,119.97
01/10/2016 20:00,30.1,54.38
01/10/2016 20:30,27,54.38
01/10/2016 21:00,27,43.12
01/10/2016 21:30,27,43.12
01/10/2016 22:00,26.19171,32
01/10/2016 22:30,27,32
01/11/2016 00:00,27.2,39.39
01/11/2016 00:30,27.2,39.39
01/11/2016 01:00,26.88148,38.28
01/11/2016 01:30,26.8,38.28
01/11/2016 02:00,26.2,34.6
01/11/2016 02:30,26.71395,34.6
01/11/2016 03:00,26.67625,32.87
01/11/2016 03:30,26.368,32.87
01/11/2016 04:00,27.03067,31.99
01/11/2016 04:30,39.99,31.99
01/11/2016 05:00,56.32344,36.99
01/11/2016 05:30,56.32695,36.99
01/11/2016 06:00,79,47
01/11/2016 06:30,56.53858,47
01/11/2016 07:00,50,41.87
01/11/2016 07:30,155,41.87
01/11/2016 08:00,154.68,53.79
01/11/2016 08:30,86.05809,53.79
01/11/2016 09:00,70.05258,64.91
01/11/2016 09:30,103.82123,64.91
01/11/2016 10:00,51.45608,55.25
